Setup title	IV_measR
test date	24.10.2024
test time	12:27:45
Device ID	_ID181ZR1000
Count	1
Pulse amplitude	4.008000
Pulse width	0.000002000
Measurement parameters
groundSMU,sweepSMU,IntegrationMode,IntegrationFactor,MeasRange,startVolage,endVoltage,groundVoltage,nPoints,compliance,measName,
SMU2,SMU3,PLC,4,0.000000,-0.100000,0.100000,0.000000,50,0.100000,2em6s,
Measurement Data
Index, Bias, SMU3 I (nA), SMU3 R (Mohm)
 0, -0.100000, -0.011527000000, 8675.284116
 1, -0.095925, -0.009955000000, 9635.861376
 2, -0.091825, -0.008913000000, 10302.367329
 3, -0.087750, -0.008038000000, 10916.894750
 4, -0.083675, -0.007276000000, 11500.137438
 5, -0.079600, -0.006619000000, 12025.985798
 6, -0.075500, -0.005920000000, 12753.378378
 7, -0.071425, -0.005434000000, 13144.092749
 8, -0.067350, -0.004904000000, 13733.686786
 9, -0.063275, -0.004431000000, 14280.072218
 10, -0.059175, -0.003876000000, 15267.027864
 11, -0.055100, -0.003468000000, 15888.119954
 12, -0.051025, -0.003090000000, 16512.944984
 13, -0.046950, -0.002639000000, 17790.829860
 14, -0.042850, -0.002241000000, 19120.928157
 15, -0.038775, -0.001893000000, 20483.359746
 16, -0.034700, -0.001474000000, 23541.383989
 17, -0.030600, -0.001140000000, 26842.105263
 18, -0.026525, -0.000804000000, 32991.293532
 19, -0.022450, -0.000509000000, 44106.090373
 20, -0.018375, -0.000125000000, 147000.000000
 21, -0.014275, 0.000109000000, 130963.302752
 22, -0.010200, 0.000389000000, 26221.079692
 23, -0.006125, 0.000691000000, 8863.965268
 24, -0.002050, 0.001002000000, 2045.908184
 25, 0.002050, 0.001263000000, 1623.119557
 26, 0.006125, 0.001635000000, 3746.177370
 27, 0.010200, 0.001871000000, 5451.630144
 28, 0.014275, 0.002150000000, 6639.534884
 29, 0.018375, 0.002416000000, 7605.546358
 30, 0.022450, 0.002700000000, 8314.814815
 31, 0.026525, 0.002959000000, 8964.177087
 32, 0.030600, 0.003203000000, 9553.543553
 33, 0.034700, 0.003441000000, 10084.277826
 34, 0.038775, 0.003770000000, 10285.145889
 35, 0.042850, 0.004019000000, 10661.856183
 36, 0.046950, 0.004343000000, 10810.499655
 37, 0.051025, 0.004613000000, 11061.131585
 38, 0.055100, 0.004921000000, 11196.911197
 39, 0.059175, 0.005156000000, 11476.920093
 40, 0.063275, 0.005465000000, 11578.225069
 41, 0.067350, 0.005752000000, 11708.970793
 42, 0.071425, 0.006075000000, 11757.201646
 43, 0.075500, 0.006373000000, 11846.853915
 44, 0.079600, 0.006703000000, 11875.279725
 45, 0.083675, 0.007015000000, 11928.011404
 46, 0.087750, 0.007276000000, 12060.197911
 47, 0.091825, 0.007577000000, 12118.912498
 48, 0.095925, 0.007886000000, 12163.961451
 49, 0.100000, 0.008255000000, 12113.870382
