Setup title	IV_measR
test date	24.10.2024
test time	15:14:00
Device ID	_ID188ZR500
Count	1
Pulse amplitude	4.090000
Pulse width	0.000000200
Measurement parameters
groundSMU,sweepSMU,IntegrationMode,IntegrationFactor,MeasRange,startVolage,endVoltage,groundVoltage,nPoints,compliance,measName,
SMU2,SMU3,PLC,4,0.000000,-0.100000,0.100000,0.000000,50,0.100000,2em7s,
Measurement Data
Index, Bias, SMU3 I (nA), SMU3 R (Mohm)
 0, -0.100000, -146533.000000000000, 0.000682
 1, -0.095925, -140545.000000000000, 0.000683
 2, -0.091825, -134531.000000000000, 0.000683
 3, -0.087750, -128548.999999999985, 0.000683
 4, -0.083675, -122595.000000000000, 0.000683
 5, -0.079600, -116608.000000000000, 0.000683
 6, -0.075500, -110594.000000000000, 0.000683
 7, -0.071425, -104643.000000000000, 0.000683
 8, -0.067350, -98769.300000000003, 0.000682
 9, -0.063275, -92813.300000000003, 0.000682
 10, -0.059175, -86803.000000000000, 0.000682
 11, -0.055100, -80819.800000000003, 0.000682
 12, -0.051025, -74861.699999999997, 0.000682
 13, -0.046950, -68876.800000000003, 0.000682
 14, -0.042850, -62867.099999999999, 0.000682
 15, -0.038775, -56913.400000000001, 0.000681
 16, -0.034700, -50928.500000000000, 0.000681
 17, -0.030600, -44916.500000000000, 0.000681
 18, -0.026525, -38964.500000000000, 0.000681
 19, -0.022450, -32975.200000000004, 0.000681
 20, -0.018375, -27021.599999999999, 0.000680
 21, -0.014275, -21009.399999999998, 0.000679
 22, -0.010200, -15023.000000000000, 0.000679
 23, -0.006125, -9067.699999999999, 0.000675
 24, -0.002050, -3083.140000000000, 0.000665
 25, 0.002050, 2931.030000000000, 0.000699
 26, 0.006125, 8883.809999999999, 0.000689
 27, 0.010200, 14871.900000000001, 0.000686
 28, 0.014275, 20852.900000000001, 0.000685
 29, 0.018375, 26837.699999999997, 0.000685
 30, 0.022450, 32819.699999999997, 0.000684
 31, 0.026525, 38803.300000000003, 0.000684
 32, 0.030600, 44759.100000000006, 0.000684
 33, 0.034700, 50770.299999999996, 0.000683
 34, 0.038775, 56751.500000000000, 0.000683
 35, 0.042850, 62705.099999999999, 0.000683
 36, 0.046950, 68714.900000000009, 0.000683
 37, 0.051025, 74669.299999999988, 0.000683
 38, 0.055100, 80653.400000000009, 0.000683
 39, 0.059175, 86639.199999999997, 0.000683
 40, 0.063275, 92628.800000000003, 0.000683
 41, 0.067350, 98613.800000000003, 0.000683
 42, 0.071425, 104598.300000000003, 0.000683
 43, 0.075500, 110554.600000000006, 0.000683
 44, 0.079600, 116677.000000000000, 0.000682
 45, 0.083675, 122667.000000000000, 0.000682
 46, 0.087750, 128627.999999999985, 0.000682
 47, 0.091825, 134608.000000000000, 0.000682
 48, 0.095925, 140590.000000000000, 0.000682
 49, 0.100000, 146571.000000000000, 0.000682
