epoch,step,train_loss,val_acc,val_loss
0,49,2.4138734340667725,,
0,99,2.3627305030822754,,
0,149,2.296527624130249,,
0,199,2.332427740097046,,
0,249,2.3455402851104736,,
0,299,2.215557813644409,,
0,349,2.237328290939331,,
0,399,2.3221046924591064,,
0,449,2.354067325592041,,
0,499,2.278676986694336,,
0,549,2.4352993965148926,,
0,599,2.276744842529297,,
0,649,2.296454906463623,,
0,699,2.263274669647217,,
0,749,2.2695813179016113,,
0,799,2.245976686477661,,
0,849,2.2672369480133057,,
0,899,2.36334228515625,,
0,949,2.2651314735412598,,
0,999,2.326765537261963,,
0,1049,2.323418140411377,,
0,1099,2.392232894897461,,
0,1149,2.3363614082336426,,
0,1199,2.1893980503082275,,
0,1249,2.2777366638183594,,
0,1299,2.3674941062927246,,
0,1349,2.243990421295166,,
0,1399,2.3487727642059326,,
0,1449,2.2820487022399902,,
0,1499,2.312026262283325,,
0,1549,2.206716537475586,,
0,1599,2.360974073410034,,
0,1649,2.387014865875244,,
0,1699,2.2566421031951904,,
0,1749,2.3022217750549316,,
0,1799,2.370208978652954,,
0,1849,2.30711030960083,,
0,1899,2.304659605026245,,
0,1949,2.3475921154022217,,
0,1999,2.3084046840667725,,
0,2049,2.321124315261841,,
0,2099,2.2287843227386475,,
0,2149,2.313316822052002,,
0,2199,2.2083983421325684,,
0,2249,2.2496232986450195,,
0,2299,2.300379514694214,,
0,2349,2.2952911853790283,,
0,2399,2.353916883468628,,
0,2449,2.2279956340789795,,
0,2499,2.2862892150878906,,
0,2549,2.3968937397003174,,
0,2599,2.2873120307922363,,
0,2649,2.2819626331329346,,
0,2699,2.223484754562378,,
0,2749,2.3577194213867188,,
0,2799,2.2830584049224854,,
0,2849,2.3297269344329834,,
0,2899,2.3041234016418457,,
0,2949,2.270346164703369,,
0,2999,2.3404369354248047,,
0,3049,2.2987799644470215,,
0,3099,2.298133611679077,,
0,3149,2.2498245239257812,,
0,3199,2.2491135597229004,,
0,3249,2.276379108428955,,
0,3299,2.232563018798828,,
0,3349,2.296034336090088,,
0,3399,2.3372013568878174,,
0,3449,2.340672731399536,,
0,3499,2.238276958465576,,
0,3549,2.3856990337371826,,
0,3599,2.322483539581299,,
0,3649,2.2504281997680664,,
0,3699,2.3291053771972656,,
0,3749,2.285980701446533,,
0,3799,2.333829402923584,,
0,3849,2.345860004425049,,
