Setup title	IV_measR
test date	24.10.2024
test time	13:22:32
Device ID	_ID170ZR5000
Count	0
Pulse amplitude	0.000000
Pulse width	0.000000020
Measurement parameters
groundSMU,sweepSMU,IntegrationMode,IntegrationFactor,MeasRange,startVolage,endVoltage,groundVoltage,nPoints,compliance,measName,
SMU2,SMU3,PLC,4,0.000000,-0.100000,0.100000,0.000000,50,0.100000,2em8s,
Measurement Data
Index, Bias, SMU3 I (nA), SMU3 R (Mohm)
 0, -0.100000, -0.806600000000, 123.977188
 1, -0.095925, -0.759860000000, 126.240360
 2, -0.091825, -0.714720000000, 128.476886
 3, -0.087750, -0.671460000000, 130.685372
 4, -0.083675, -0.629840000000, 132.851200
 5, -0.079600, -0.589420000000, 135.048013
 6, -0.075500, -0.550180000000, 137.227816
 7, -0.071425, -0.512590000000, 139.341384
 8, -0.067350, -0.476180000000, 141.438112
 9, -0.063275, -0.441220000000, 143.409184
 10, -0.059175, -0.406976000000, 145.401694
 11, -0.055100, -0.373887000000, 147.370730
 12, -0.051025, -0.341927000000, 149.227759
 13, -0.046950, -0.310737000000, 151.092403
 14, -0.042850, -0.280356000000, 152.841387
 15, -0.038775, -0.251028000000, 154.464841
 16, -0.034700, -0.222257000000, 156.125566
 17, -0.030600, -0.194028000000, 157.709197
 18, -0.026525, -0.166751000000, 159.069511
 19, -0.022450, -0.139684000000, 160.719911
 20, -0.018375, -0.113590000000, 161.766001
 21, -0.014275, -0.087420000000, 163.292153
 22, -0.010200, -0.061821000000, 164.992478
 23, -0.006125, -0.036634000000, 167.194410
 24, -0.002050, -0.011576000000, 177.090532
 25, 0.002050, 0.013367000000, 153.362759
 26, 0.006125, 0.038022000000, 161.090947
 27, 0.010200, 0.062591000000, 162.962726
 28, 0.014275, 0.087361000000, 163.402434
 29, 0.018375, 0.111970000000, 164.106457
 30, 0.022450, 0.136729000000, 164.193404
 31, 0.026525, 0.161587000000, 164.153057
 32, 0.030600, 0.186580000000, 164.004716
 33, 0.034700, 0.212184000000, 163.537307
 34, 0.038775, 0.237765000000, 163.081194
 35, 0.042850, 0.263809000000, 162.428120
 36, 0.046950, 0.290279000000, 161.740946
 37, 0.051025, 0.317298000000, 160.810973
 38, 0.055100, 0.344661000000, 159.867232
 39, 0.059175, 0.372533000000, 158.844988
 40, 0.063275, 0.401141000000, 157.737554
 41, 0.067350, 0.430268000000, 156.530349
 42, 0.071425, 0.460077000000, 155.245752
 43, 0.075500, 0.490070000000, 154.059624
 44, 0.079600, 0.521550000000, 152.621992
 45, 0.083675, 0.553630000000, 151.138847
 46, 0.087750, 0.586150000000, 149.705707
 47, 0.091825, 0.619790000000, 148.155020
 48, 0.095925, 0.654400000000, 146.584658
 49, 0.100000, 0.689540000000, 145.024219
