size,voltage,n,A,omega,log_tlorentz
600,1.00,1.509991139890147,0.06408795414481078,4.734879951213749e-05,-5.112579033695659
600,1.25,1.4942711834285844,0.05924424508576322,0.7429470147327433,-22.631259434060837
600,1.50,1.5099851412995806,0.050546841159879737,0.6664311930491155,-5.356866987359126
600,1.75,1.5099999999997304,0.7461440827057242,0.2727967015638288,-4.385223977809928
600,2.00,1.509999995167276,0.9913584641206101,0.7920574885250024,-4.361399419023509
600,2.25,1.5099999999999996,0.5271710303871077,0.6758239051534213,-6.562898351406281
600,2.50,1.490000000000002,0.4482792624235493,0.3101518356728177,-7.414554504061359
600,2.75,1.4900000000002291,0.4852441308453257,0.37785774406912126,-8.024464540160055
600,3.00,1.5099999999982603,0.4493304755535214,0.18550706640522863,-8.624818617237473
600,3.25,1.509999998706949,0.4089499705347946,0.23571643276028859,-9.043733148229181
600,3.75,1.5098155479048296,0.6172121688404841,7.653510758559618,-12.10458030293448
600,4.25,1.4906011203835634,0.4937609825656277,3.094598691262197,-30.971341822289013
600,5.00,1.4900000018496375,0.47590379506341157,0.823345785347763,-11.165145795000132
600,1.25,1.7455397014576934,0.059244245215304504,0.45209721260742797,-21.360565396890372
600,1.50,1.7599999961806057,0.050897426265651094,0.6776100334121078,-5.36575841187773
600,1.75,1.759999934733727,0.6293808149411517,0.29102628330906666,-4.509663923555587
600,2.00,1.7599999999970732,0.9621559173783484,0.8045727162477471,-4.42318824333952
600,2.25,1.7599999999934395,0.5294140038887155,0.698838302685324,-6.576070740240171
600,2.50,1.7400000000000009,0.4513440276972386,0.3467633397875213,-7.427358739479562
600,2.75,1.7400000000000002,0.4878045849396641,0.4088456195027498,-8.036622904014115
600,3.00,1.7599999999999996,0.45011774432584256,0.20758548163684337,-8.638549071322982
600,3.25,1.7563042075581148,0.4089943110509747,0.23694224242904205,-9.038851480002062
600,3.75,1.7596379954614247,0.6172136721830522,7.65457312929153,-12.126723556073829
600,5.00,1.7400000532161881,0.475970490890086,0.8247986099524414,-11.179593538840596
600,1.25,1.9967142409295113,0.059244245093182046,0.31720076601312824,-21.96125305643393
600,1.50,2.0099242874629786,0.05114313064505546,0.6840754948846449,-5.373488233987428
600,1.75,2.0099999999989637,0.5994375313007424,0.29958439606718246,-4.562089260794007
600,2.00,2.0099999996974236,0.9398350468226466,0.8137394908728663,-4.469809120640639
600,2.25,2.0099999999695313,0.5308745956664946,0.7140292968274029,-6.587123183904869
600,2.50,1.9900000000000013,0.453443288684035,0.3714848917011025,-7.437931409400161
600,2.75,1.990000000002706,0.48959526451117735,0.4302306848538558,-8.046712063560882
600,3.00,2.0099999999999993,0.450728620799737,0.22268427234974725,-8.649546700691644
600,3.25,2.009377951353652,0.40903744280728765,0.2377564241322341,-9.036197832616274
600,3.50,2.0044417623738338,0.42950249951576874,8.86832943571777e-05,-9.002509862521023
600,3.75,2.00939765121789,0.6172148168057903,7.655284032172771,-12.1435054520873
600,4.25,1.994276411345371,0.4933371618857003,2.9733936300425894,-30.536092768611937
600,5.00,1.9900001014978705,0.4760010732079978,0.8251370167508714,-11.190017932385397
600,1.25,2.247576481841067,0.05924424508488763,0.3764061226156241,-20.622353576855907
600,1.50,2.2599999999478726,0.051383795865660525,0.6882854511773911,-5.378339386674097
600,1.75,2.2599994159174868,0.5734260506803829,0.3061115909997002,-4.604680905145246
600,2.00,2.259999999999386,0.9225732050380262,0.8206356271674519,-4.505917376492748
600,2.25,2.2599999999999048,0.531875825693705,0.7245679194742327,-6.596414077320967
600,2.50,2.2400000000000007,0.454959895600789,0.3891456742884654,-7.446676174303405
600,2.75,2.240000000019896,0.49089114969071557,0.44561182769470997,-8.055184955475582
600,3.00,2.2599999999999993,0.451233253195752,0.2340130490380862,-8.658616085581981
600,3.25,2.249368316053047,0.41675975688878003,0.4140481151907905,-9.162449846207458
600,3.50,2.2510274809359596,0.42949835161284206,0.00010701402927172624,-8.990323256539751
600,3.75,2.2590427985240447,0.6172085871141962,7.655436326419635,-12.15669525109677
600,4.25,2.2458149206553086,0.4936769456108037,3.0700250560301363,-30.927406195750308
600,5.00,2.2400000641223916,0.47601368643977165,0.8249705778145725,-11.197916719521123
600,1.25,2.4985908551832265,0.059244245086053325,0.8906775977708274,-19.345489121206143
600,1.50,2.509989599241415,0.05153872477710181,0.6905141433971588,-5.383543236002026
