size,n,t0,V0,n_tau
600,1.5,3.1096331314670204e-09,318.4614103975111,0.44767238352083494
600,1.75,0.00012701851249184628,9.085116547558753e-06,3.5299501464448033
600,2.0,6.715923891757889e-09,616.508060439904,0.3813277637387597
600,2.25,3.2190951387851786e-09,550.165508846701,0.4070365915509139
600,2.5,7.12362228743005e-09,133.19057276993203,0.5234906541707184
30000,1.5,2.4744445843817254e-05,55.22149474692153,0.5017800833370528
20000,1.5,0.0001265822283914505,5.164072354338277,1.2487599289618818
20000,1.75,0.0001109757411771403,5.603908821803235,1.187666916169835
20000,2.0,0.00010276188640487586,5.872702587689825,1.1547733467476715
20000,2.25,9.694200702315656e-05,6.085839816736008,1.130753981844279
20000,2.5,9.325918307987225e-05,6.2275044944189855,1.1155297841466836
1000,1.5,7.072161924791089e-09,426.15171087063527,0.47402569887571605
1000,1.75,7.095297443549418e-09,416.1458349460588,0.4761487072783912
1000,2.0,3.9863959420386105e-09,4742.496033727638,0.3235835391692254
1000,2.25,3.1991668229093536e-09,6620.614194616392,0.31179666042573057
1000,2.5,6.7300457637694555e-09,426.9419713625962,0.47482560247780287
500,2.0,0.009300256850118841,0.003279461001143053,3.7521323415223753
500,2.5,0.01979267408940281,0.0010221638036737452,3.983422457341277
10000,1.5,0.00029561917731766744,1.705065023593944,3.999999999999995
10000,1.75,0.0002884575690883951,1.7118655088507249,3.9999999999999463
10000,2.0,0.00028626975459360886,1.7197433187364335,3.9999999999999885
10000,2.25,0.00028157208668760735,1.7153165166523647,3.999999999999989
10000,2.5,0.0003134042892028736,1.7304225877490929,3.9999999999991895
5000,2.0,2.870258247408703e-06,27.418107385503415,0.7317609523257622
5000,2.25,2.1835087254629443e-06,33.567445628061165,0.6922811178092559
800,2.0,4.782650590057056e-05,4.813447231993429,1.9220317173688612
800,2.25,3.641781434341156e-05,5.642399017071781,1.6453558418536238
800,2.5,4.311777986188059e-05,5.000256319331076,1.8565676909987447
