Setup title	IV_measR
test date	24.10.2024
test time	10:53:19
Device ID	_ID161ZR15000
Count	0
Pulse amplitude	0.000000
Pulse width	0.000000200
Measurement parameters
groundSMU,sweepSMU,IntegrationMode,IntegrationFactor,MeasRange,startVolage,endVoltage,groundVoltage,nPoints,compliance,measName,
SMU2,SMU3,PLC,4,0.000000,-0.100000,0.100000,0.000000,50,0.100000,2em7s,
Measurement Data
Index, Bias, SMU3 I (nA), SMU3 R (Mohm)
 0, -0.100000, -6.587330000000, 15.180657
 1, -0.095925, -6.205960000000, 15.456916
 2, -0.091825, -5.835040000000, 15.736824
 3, -0.087750, -5.478950000000, 16.015842
 4, -0.083675, -5.136310000000, 16.290878
 5, -0.079600, -4.804230000000, 16.568732
 6, -0.075500, -4.482730000000, 16.842415
 7, -0.071425, -4.174690000000, 17.109055
 8, -0.067350, -3.876070000000, 17.375847
 9, -0.063275, -3.588960000000, 17.630456
 10, -0.059175, -3.308280000000, 17.886938
 11, -0.055100, -3.038120000000, 18.136216
 12, -0.051025, -2.777450000000, 18.371168
 13, -0.046950, -2.523220000000, 18.607177
 14, -0.042850, -2.275560000000, 18.830530
 15, -0.038775, -2.036870000000, 19.036561
 16, -0.034700, -1.803480000000, 19.240579
 17, -0.030600, -1.574720000000, 19.432026
 18, -0.026525, -1.353570000000, 19.596327
 19, -0.022450, -1.135940000000, 19.763368
 20, -0.018375, -0.923230000000, 19.902949
 21, -0.014275, -0.712680000000, 20.030028
 22, -0.010200, -0.505960000000, 20.159696
 23, -0.006125, -0.303050000000, 20.211186
 24, -0.002050, -0.101226000000, 20.251714
 25, 0.002050, 0.099960000000, 20.508203
 26, 0.006125, 0.297890000000, 20.561281
 27, 0.010200, 0.495470000000, 20.586514
 28, 0.014275, 0.693280000000, 20.590526
 29, 0.018375, 0.891580000000, 20.609480
 30, 0.022450, 1.090260000000, 20.591419
 31, 0.026525, 1.290340000000, 20.556597
 32, 0.030600, 1.490340000000, 20.532228
 33, 0.034700, 1.694400000000, 20.479226
 34, 0.038775, 1.900030000000, 20.407573
 35, 0.042850, 2.107170000000, 20.335331
 36, 0.046950, 2.319550000000, 20.240995
 37, 0.051025, 2.533610000000, 20.139248
 38, 0.055100, 2.752300000000, 20.019620
 39, 0.059175, 2.975510000000, 19.887347
 40, 0.063275, 3.203070000000, 19.754486
 41, 0.067350, 3.435610000000, 19.603506
 42, 0.071425, 3.672850000000, 19.446751
 43, 0.075500, 3.915010000000, 19.284753
 44, 0.079600, 4.164200000000, 19.115316
 45, 0.083675, 4.418600000000, 18.936994
 46, 0.087750, 4.677980000000, 18.758096
 47, 0.091825, 4.944760000000, 18.570163
 48, 0.095925, 5.217340000000, 18.385806
 49, 0.100000, 5.496600000000, 18.193065
