Setup title	IV_measR
test date	24.10.2024
test time	11:07:56
Device ID	_ID161ZR15000
Count	0
Pulse amplitude	0.000000
Pulse width	0.000000200
Measurement parameters
groundSMU,sweepSMU,IntegrationMode,IntegrationFactor,MeasRange,startVolage,endVoltage,groundVoltage,nPoints,compliance,measName,
SMU2,SMU3,PLC,4,0.000000,-0.100000,0.100000,0.000000,50,0.100000,2em7s,
Measurement Data
Index, Bias, SMU3 I (nA), SMU3 R (Mohm)
 0, -0.100000, -6.537260000000, 15.296929
 1, -0.095925, -6.157990000000, 15.577323
 2, -0.091825, -5.789700000000, 15.860062
 3, -0.087750, -5.435740000000, 16.143156
 4, -0.083675, -5.096360000000, 16.418581
 5, -0.079600, -4.767500000000, 16.696382
 6, -0.075500, -4.448120000000, 16.973463
 7, -0.071425, -4.142720000000, 17.241088
 8, -0.067350, -3.846730000000, 17.508377
 9, -0.063275, -3.561710000000, 17.765343
 10, -0.059175, -3.283350000000, 18.022751
 11, -0.055100, -3.015450000000, 18.272563
 12, -0.051025, -2.756660000000, 18.509718
 13, -0.046950, -2.504800000000, 18.744011
 14, -0.042850, -2.258790000000, 18.970334
 15, -0.038775, -2.022420000000, 19.172575
 16, -0.034700, -1.790800000000, 19.376815
 17, -0.030600, -1.563700000000, 19.568971
 18, -0.026525, -1.343840000000, 19.738213
 19, -0.022450, -1.127740000000, 19.907071
 20, -0.018375, -0.917130000000, 20.035328
 21, -0.014275, -0.707570000000, 20.174682
 22, -0.010200, -0.502640000000, 20.292854
 23, -0.006125, -0.300800000000, 20.362367
 24, -0.002050, -0.100506000000, 20.396792
 25, 0.002050, 0.099233000000, 20.658450
 26, 0.006125, 0.295747000000, 20.710269
 27, 0.010200, 0.492130000000, 20.726231
 28, 0.014275, 0.688870000000, 20.722342
 29, 0.018375, 0.885630000000, 20.747942
 30, 0.022450, 1.083170000000, 20.726202
 31, 0.026525, 1.281990000000, 20.690489
 32, 0.030600, 1.481170000000, 20.659344
 33, 0.034700, 1.684340000000, 20.601541
 34, 0.038775, 1.888780000000, 20.529125
 35, 0.042850, 2.095040000000, 20.453070
 36, 0.046950, 2.306290000000, 20.357370
 37, 0.051025, 2.519500000000, 20.252034
 38, 0.055100, 2.737240000000, 20.129766
 39, 0.059175, 2.959300000000, 19.996283
 40, 0.063275, 3.186100000000, 19.859703
 41, 0.067350, 3.417700000000, 19.706235
 42, 0.071425, 3.654530000000, 19.544237
 43, 0.075500, 3.896040000000, 19.378651
 44, 0.079600, 4.145230000000, 19.202795
 45, 0.083675, 4.399000000000, 19.021368
 46, 0.087750, 4.657270000000, 18.841510
 47, 0.091825, 4.923080000000, 18.651941
 48, 0.095925, 5.195740000000, 18.462240
 49, 0.100000, 5.474410000000, 18.266809
