size,voltage,n,A,omega,log_tlorentz,r2_score
1000,1.00,1.0000000004474057,1.804701388330443e-10,0.1000000015508086,-6.999999999606066,-inf
1000,1.00,1.2500000000314408,1.0339757656912846e-25,0.10000000190509896,-6.999999999268633,-inf
1000,1.00,1.500000000040704,-1.0339757656912846e-25,0.10000000275968739,-6.999999999132308,-inf
1000,1.00,1.7500000000222578,-5.169878828456423e-26,0.10000000048987445,-6.999999999104398,-inf
1000,1.00,2.000000000016766,0.0,0.1000000000544312,-7.000000000068137,
1000,1.00,2.2500000000200058,5.169878828456423e-26,0.10000000152205726,-6.999999998773047,-inf
1000,1.25,1.24458228489844,0.023792482508411684,0.32415680190919954,-13.528000849956719,0.0
1000,1.25,1.7423231360101739,0.023792482651703997,-0.2391949086378904,-12.845670385390122,0.0
1000,1.25,1.9957681328186265,0.02379248253124935,0.16200630445200145,-12.124671506746843,0.0
1000,1.25,2.24477732832673,0.023792482493078457,0.0829249266704673,-12.621285166053095,-2.220446049250313e-16
1000,1.50,1.0099999999881268,1.392087985672857,1.2461520027078032,3.2345364669267593,0.2900148310636489
1000,1.50,1.2599999967252486,1.5108791092012785,1.3001555440493051,3.7636160062621817,0.2901099740448091
1000,1.50,1.5099999795069508,1.5786363587256902,1.3314923083292645,4.063233828251097,0.29014686621831043
1000,1.50,1.7599999922866612,1.6204061383587482,1.3509647515270937,4.245400327502077,0.290161589141807
1000,1.50,2.0099999471013916,1.6442040519199645,1.3620402928559114,4.344320537091289,0.2901669453115133
1000,1.50,2.2599999973649227,1.6565861355497742,1.3677950678882376,4.390721548848363,0.2901684912619028
1000,1.75,0.9900000000000062,0.26728453298748767,0.10174796367194386,-4.904589647513516,0.880260685853797
1000,1.75,1.2599999999999998,0.30294324744037265,0.24835754917177263,-4.833006473237998,0.880100863221256
1000,1.75,1.5099999999999998,0.27610279873790183,0.29316515611033717,-4.917693452538839,0.8815883546504826
1000,1.75,1.7599999999999998,0.2649451308191932,0.33234398757852934,-4.960098105031821,0.8830819895074622
1000,1.75,2.0099999999999993,0.25836086009306375,0.3600189247521601,-4.989082309552173,0.8844464896174264
1000,1.75,2.2599999999999993,0.25308491393943244,0.3750631760416582,-5.014060247784236,0.8855214046827632
1000,2.00,0.990000000000001,0.3965629207853889,0.21664668983069552,-5.711430904831339,0.9718336752179163
1000,2.00,1.2400000000000002,0.40140162800048457,0.2962742092736117,-5.7348856729364535,0.9691273339360599
1000,2.00,1.4900000000000002,0.4031767158554827,0.34146251042319603,-5.757829245996478,0.9667313698484352
1000,2.00,1.7400000000000002,0.4036120115431854,0.36958960785615524,-5.778183920166788,0.9647942875281965
1000,2.00,1.9900000000000002,0.40343513780525597,0.3881598399512562,-5.795765648056297,0.9632636195799057
1000,2.00,2.2400000000000007,0.4029804697619233,0.40092941783818814,-5.810858091724229,0.9620546993862116
1000,2.25,0.9900000000000003,0.46747367915205473,0.2478668577622501,-6.476496056607752,0.9957659032268737
1000,2.25,1.2400000000000002,0.47431339489416957,0.3253899650378846,-6.4975994742787755,0.9952057706664917
1000,2.25,1.490000000000011,0.47813588922372224,0.36994321231119937,-6.516288072819062,0.9946593427410323
1000,2.25,1.7400000000000002,0.4804477587149922,0.39792363028878897,-6.531924839690642,0.9941963287755058
1000,2.25,1.9900000000000002,0.4819570632304593,0.4167068104689741,-6.544815055156389,0.9938193864863964
1000,2.25,2.240000000000072,0.4830018197978513,0.42995934007423453,-6.555473133892639,0.9935158534380907
1000,2.50,1.0099999999999882,0.47729744494845977,0.14084772700546844,-7.284076884001564,0.9871504753323646
1000,2.50,1.2599999999994456,0.48034730097608463,-0.21180275589383343,-7.31087117499733,0.98839465482264
1000,2.50,1.5099999999960056,0.4831097165794716,-0.2552432754049226,-7.3308396581369415,0.9886384448034333
1000,2.50,1.7400000000025397,0.48527464085675637,-0.28346763943645376,-7.344825447457811,0.9885767843953216
1000,2.50,1.9900000000000002,0.48705010006839605,-0.30544300929289775,-7.357144605315732,0.9884231149275301
1000,2.50,2.2400000000000015,0.4883344070787819,-0.3212396795952915,-7.367345627166789,0.9882492083321485
1000,2.75,1.0099999999999998,0.49446941029645963,0.18220651095357995,-7.954690988248337,0.9894140227829709
1000,2.75,1.2599999999999998,0.49691380916137196,0.238410031846573,-7.982470876661634,0.9924640046436501
1000,2.75,1.5099999999999998,0.4987679694633242,0.27176512591843144,-8.002574159555852,0.9939473744243802
1000,2.75,1.7599999999999998,0.5001988446048174,0.29423690480742426,-8.01783065421283,0.9946638742776912
1000,2.75,2.0099999999999993,0.5013950883039917,0.3109930498617218,-8.029700571597113,0.9950106666571823
1000,2.75,2.259999999999965,0.5024190923687964,0.32415610222115354,-8.03918497518871,0.9951776460409433
1000,3.00,1.0099999999999998,0.5038620011558743,0.14496674293006132,-8.27722823050319,0.9863993916837326
1000,3.00,1.2599999999999993,0.5064034278984926,0.2130000988981625,-8.297206759985738,0.9906937027264174
1000,3.00,1.5099999999999996,0.5084285616849442,0.2534181441346715,-8.313204379163611,0.9925800828335353
1000,3.00,1.7599999999999973,0.5101129136195154,0.2816451320796707,-8.326292186382531,0.9934260175050961
1000,3.00,2.009999999999914,0.5114058622954032,0.30160399212352657,-8.337159215460627,0.9938127227128911
1000,3.00,2.2599999999999993,0.512390401077681,-0.31607632029031996,-8.346277516192675,0.9939761450606759
1000,3.25,1.0099999999999996,0.496985622728888,-0.04498393774716886,-8.53756798673701,0.9835207562020806
1000,3.25,1.2599999999999996,0.49837566800759137,0.13172378757461725,-8.55775851241933,0.9871562700876888
