Setup title	IV_measR
test date	24.10.2024
test time	12:11:08
Device ID	_ID181ZR1000
Count	1
Pulse amplitude	4.984000
Pulse width	0.000000020
Measurement parameters
groundSMU,sweepSMU,IntegrationMode,IntegrationFactor,MeasRange,startVolage,endVoltage,groundVoltage,nPoints,compliance,measName,
SMU2,SMU3,PLC,4,0.000000,-0.100000,0.100000,0.000000,50,0.100000,2em8s,
Measurement Data
Index, Bias, SMU3 I (nA), SMU3 R (Mohm)
 0, -0.100000, -0.012955000000, 7719.027403
 1, -0.095925, -0.011312000000, 8479.932815
 2, -0.091825, -0.010066000000, 9122.292867
 3, -0.087750, -0.009048000000, 9698.275862
 4, -0.083675, -0.008255000000, 10136.281042
 5, -0.079600, -0.007415000000, 10734.996628
 6, -0.075500, -0.006780000000, 11135.693215
 7, -0.071425, -0.006092000000, 11724.392646
 8, -0.067350, -0.005573000000, 12085.052934
 9, -0.063275, -0.005029000000, 12582.024259
 10, -0.059175, -0.004502000000, 13144.158152
 11, -0.055100, -0.003977000000, 13854.664320
 12, -0.051025, -0.003456000000, 14764.178241
 13, -0.046950, -0.003085000000, 15218.800648
 14, -0.042850, -0.002586000000, 16569.992266
 15, -0.038775, -0.002179000000, 17794.860028
 16, -0.034700, -0.001882000000, 18437.832094
 17, -0.030600, -0.001337000000, 22887.060583
 18, -0.026525, -0.001056000000, 25118.371212
 19, -0.022450, -0.000646000000, 34752.321981
 20, -0.018375, -0.000276000000, 66576.086957
 21, -0.014275, 0.000042000000, 339880.952381
 22, -0.010200, 0.000355000000, 28732.394366
 23, -0.006125, 0.000762000000, 8038.057743
 24, -0.002050, 0.001026000000, 1998.050682
 25, 0.002050, 0.001376000000, 1489.825581
 26, 0.006125, 0.001742000000, 3516.073479
 27, 0.010200, 0.001991000000, 5123.053742
 28, 0.014275, 0.002354000000, 6064.146134
 29, 0.018375, 0.002660000000, 6907.894737
 30, 0.022450, 0.002942000000, 7630.863358
 31, 0.026525, 0.003300000000, 8037.878788
 32, 0.030600, 0.003592000000, 8518.930958
 33, 0.034700, 0.003854000000, 9003.632590
 34, 0.038775, 0.004114000000, 9425.133690
 35, 0.042850, 0.004511000000, 9499.002438
 36, 0.046950, 0.004841000000, 9698.409420
 37, 0.051025, 0.005127000000, 9952.213770
 38, 0.055100, 0.005387000000, 10228.327455
 39, 0.059175, 0.005716000000, 10352.519244
 40, 0.063275, 0.006029000000, 10495.106983
 41, 0.067350, 0.006374000000, 10566.363351
 42, 0.071425, 0.006692000000, 10673.191871
 43, 0.075500, 0.007009000000, 10771.864745
 44, 0.079600, 0.007396000000, 10762.574365
 45, 0.083675, 0.007660000000, 10923.629243
 46, 0.087750, 0.008006000000, 10960.529603
 47, 0.091825, 0.008314000000, 11044.623527
 48, 0.095925, 0.008729000000, 10989.231298
 49, 0.100000, 0.009051000000, 11048.502928
