Setup title	IV_measR
test date	24.10.2024
test time	15:51:40
Device ID	_ID181ZR1000
Count	1
Pulse amplitude	4.008000
Pulse width	0.000002000
Measurement parameters
groundSMU,sweepSMU,IntegrationMode,IntegrationFactor,MeasRange,startVolage,endVoltage,groundVoltage,nPoints,compliance,measName,
SMU2,SMU3,PLC,4,0.000000,-0.100000,0.100000,0.000000,50,0.100000,2em6s 10cy,
Measurement Data
Index, Bias, SMU3 I (nA), SMU3 R (Mohm)
 0, -0.100000, -152170.000000000000, 0.000657
 1, -0.095925, -145935.000000000000, 0.000657
 2, -0.091825, -139689.000000000000, 0.000657
 3, -0.087750, -133480.000000000000, 0.000657
 4, -0.083675, -127293.000000000000, 0.000657
 5, -0.079600, -121073.000000000000, 0.000657
 6, -0.075500, -114828.000000000000, 0.000658
 7, -0.071425, -108650.000000000000, 0.000657
 8, -0.067350, -102431.000000000000, 0.000658
 9, -0.063275, -96385.100000000006, 0.000656
 10, -0.059175, -90145.100000000006, 0.000656
 11, -0.055100, -83934.399999999994, 0.000656
 12, -0.051025, -77739.500000000000, 0.000656
 13, -0.046950, -71522.900000000009, 0.000656
 14, -0.042850, -65282.900000000001, 0.000656
 15, -0.038775, -59098.599999999999, 0.000656
 16, -0.034700, -52890.000000000000, 0.000656
 17, -0.030600, -46645.099999999999, 0.000656
 18, -0.026525, -40460.400000000001, 0.000656
 19, -0.022450, -34237.800000000003, 0.000656
 20, -0.018375, -28057.099999999999, 0.000655
 21, -0.014275, -21812.899999999998, 0.000654
 22, -0.010200, -15600.300000000001, 0.000654
 23, -0.006125, -9413.400000000000, 0.000651
 24, -0.002050, -3196.900000000000, 0.000641
 25, 0.002050, 3046.770000000000, 0.000673
 26, 0.006125, 9230.599999999999, 0.000664
 27, 0.010200, 15443.499999999998, 0.000660
 28, 0.014275, 21658.199999999997, 0.000659
 29, 0.018375, 27873.799999999999, 0.000659
 30, 0.022450, 34086.599999999999, 0.000659
 31, 0.026525, 40302.099999999999, 0.000658
 32, 0.030600, 46486.300000000003, 0.000658
 33, 0.034700, 52730.000000000000, 0.000658
 34, 0.038775, 58944.900000000001, 0.000658
 35, 0.042850, 65127.400000000001, 0.000658
 36, 0.046950, 71370.199999999997, 0.000658
 37, 0.051025, 77554.900000000009, 0.000658
 38, 0.055100, 83770.100000000006, 0.000658
 39, 0.059175, 89985.500000000000, 0.000658
 40, 0.063275, 96196.800000000003, 0.000658
 41, 0.067350, 102409.800000000003, 0.000658
 42, 0.071425, 108627.800000000003, 0.000658
 43, 0.075500, 114815.600000000006, 0.000658
 44, 0.079600, 121185.000000000000, 0.000657
 45, 0.083675, 127400.000000000000, 0.000657
 46, 0.087750, 133589.000000000000, 0.000657
 47, 0.091825, 139798.000000000000, 0.000657
 48, 0.095925, 146015.000000000000, 0.000657
 49, 0.100000, 152233.000000000000, 0.000657
