size,n,t0,V0,n_tau,r2_score
600,1.5,5.842150301391538e-09,8.023667285420416,1.9224812750698588,0.4230341576412757
600,1.75,6.4940006031025265e-09,47.161444989790574,0.826515666754584,0.9070835873163741
600,2.0,3.984664014993166e-09,10.295616592819838,1.6429336388667943,0.3973629153909479
600,2.25,4.212220189894582e-09,10.033560269608992,1.6654452805452813,0.3912148064747871
600,2.5,4.337230149348951e-09,8.297232860842755,1.8762660533127475,0.4214201529755196
30000,1.5,0.000375283633267827,4.1604315012634805,1.2155650022224735,0.99862739690391
30000,1.75,0.0003577828646282222,4.304607309223513,1.1790927270727638,0.9985050212313923
30000,2.0,0.00032547464450695596,4.624826491703597,1.1147535288757313,0.9988803023947214
30000,2.25,0.0002978619944433421,4.9601633960666,1.0607732563945118,0.999141562375661
30000,2.5,0.0002786965688613998,5.231217817847092,1.0240856309734274,0.9992743829323153
1000,1.5,2.0453170074770448e-05,5.53789655044776,1.5580881714544585,0.9925224418994134
1000,1.75,2.1307064110872137e-05,5.444882956370968,1.570126234743459,0.9916980711022366
1000,2.0,2.2163896925852685e-05,5.351557638383195,1.5847020414697222,0.9910950653199446
1000,2.25,2.2806091140397704e-05,5.284492229025481,1.5950498266029953,0.9905653536949155
1000,2.5,2.338473244204317e-05,5.225026470657593,1.6049201366216308,0.9901109543658978
500,1.5,0.0034437691022421156,1.054304244202623e-09,0.14663513821964885,-7.067866638132969e-05
500,1.75,0.0013282304281140062,1.1897145675680636,4.405978938189673e-09,-4.140288112353119e-11
500,2.0,0.03638268805667132,5.3660842542547815,8.500058203468327e-14,-1.5543122344752192e-15
500,2.25,0.0035078909469308615,0.001091773320006718,3.2749394247088386,-5.551115123125783e-14
500,2.5,0.0963572478281587,0.0005171452490887309,3.0751455722905403,-1.5543122344752192e-13
10000,1.5,4.083173175779311e-06,31.136173873270092,0.6921025276883735,0.9943038086733894
10000,1.75,1.4421574916143463e-05,13.796641241788397,0.8722878340095258,0.9923537631263759
10000,2.0,1.7276694080306117e-05,12.271911710093805,0.9081752534232043,0.9929191045304495
10000,2.25,1.731553737809276e-05,12.191074666869527,0.9102634378845154,0.9926397816891014
10000,2.5,1.7682171698076714e-05,11.96344365566068,0.9168644242798842,0.992471250926732
5000,1.5,9.315337767583983e-06,11.693813238531996,0.9794311821118312,0.9978942623478718
5000,1.75,9.534796451371687e-06,11.469072727007536,0.9862943471953234,0.9978085922126199
5000,2.0,9.905784855162141e-06,11.149986231172162,0.9972707583534163,0.9978115506038511
5000,2.25,1.0252761600722137e-05,10.871812433217636,1.0075019904646751,0.9978423400003249
5000,2.5,1.0539180937390432e-05,10.652167490447178,1.015958837280816,0.9978591883749967
800,2.0,2.5376839197973857e-05,6.078219418669934,1.6089665899733903,0.5494494354164563
800,2.25,2.060164317722697e-05,7.084779786375594,1.4223432254126154,0.6194371007004607
800,2.5,1.5697986817639745e-05,7.490591725153411,1.402770524052359,0.6522689464368482
